"Step","experiment-balanced-data - epoch","experiment-balanced-data - epoch__MIN","experiment-balanced-data - epoch__MAX","experiment-human-data - epoch","experiment-human-data - epoch__MIN","experiment-human-data - epoch__MAX"
"2","1","1","1","","",""
"10","","","","1","1","1"
"16","","","","1","1","1"
"26","","","","1","1","1"
"33","","","","1","1","1"
"44","","","","1","1","1"
"48","","","","1","1","1"
"64","1","1","1","","",""
"67","","","","1","1","1"
"73","1","1","1","","",""
"76","1","1","1","","",""
"89","","","","1","1","1"
"104","","","","1","1","1"
"106","1","1","1","","",""
"107","1","1","1","","",""
"109","1","1","1","","",""
"111","1","1","1","","",""
"121","","","","1","1","1"
"128","","","","1","1","1"
"162","1","1","1","","",""
"165","1","1","1","","",""
"170","1","1","1","1","1","1"
"183","1","1","1","","",""
"186","","","","1","1","1"
"211","","","","1","1","1"
"216","1","1","1","","",""
"217","1","1","1","","",""
"235","","","","1","1","1"
"236","","","","1","1","1"
"239","1","1","1","","",""
"242","1","1","1","","",""
"248","","","","1","1","1"
"251","","","","1","1","1"
"256","","","","1","1","1"
"280","","","","1","1","1"
"293","1","1","1","","",""
"304","","","","1","1","1"
"319","","","","1","1","1"
"326","","","","1","1","1"
"339","","","","1","1","1"
"340","","","","1","1","1"
"357","","","","1","1","1"
"358","","","","1","1","1"
"362","","","","1","1","1"
"364","","","","1","1","1"
"391","1","1","1","","",""
"392","","","","1","1","1"
"416","1","1","1","","",""
"418","","","","1","1","1"
"419","1","1","1","","",""
"429","","","","1","1","1"
"431","1","1","1","","",""
"433","","","","1","1","1"
"444","1","1","1","","",""
"446","","","","1","1","1"
"468","","","","1","1","1"
"481","1","1","1","1","1","1"
"493","","","","1","1","1"
"511","1","1","1","","",""
"518","","","","1","1","1"
"531","1","1","1","","",""
"534","1","1","1","","",""
"542","1","1","1","","",""
"575","","","","1","1","1"
"577","","","","1","1","1"
"580","1","1","1","","",""
"583","1","1","1","","",""
"600","","","","1","1","1"
"610","1","1","1","","",""
"618","1","1","1","","",""
"621","1","1","1","","",""
"625","1","1","1","","",""
"626","","","","1","1","1"
"634","1","1","1","","",""
"639","1","1","1","","",""
"654","","","","1","1","1"
"674","1","1","1","","",""
"678","","","","1","1","1"
"702","1","1","1","","",""
"712","1","1","1","","",""
"718","1","1","1","","",""
"719","","","","1","1","1"
"722","","","","1","1","1"
"728","1","1","1","","",""
"732","","","","1","1","1"
"743","","","","1","1","1"
