"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocated","experiment-human-data - system/gpu.process.0.memoryAllocated__MIN","experiment-human-data - system/gpu.process.0.memoryAllocated__MAX"
"60.254455","13.54","13.54","13.54"
"90.255366","15.15","15.15","15.15"
"120.256285","15.15","15.15","15.15"
"150.257256","15.15","15.15","15.15"
"180.25804","15.15","15.15","15.15"
"210.258923","15.15","15.15","15.15"
"240.259429","15.15","15.15","15.15"
"270.260588","15.15","15.15","15.15"
"300.261412","15.15","15.15","15.15"
"330.262105","15.15","15.15","15.15"
"360.262937","15.16","15.16","15.16"
"390.263608","15.16","15.16","15.16"
"420.264335","15.16","15.16","15.16"
"450.265046","15.16","15.16","15.16"
"480.265767","15.16","15.16","15.16"
"510.266412","15.16","15.16","15.16"
"540.267129","15.16","15.16","15.16"
"570.267885","15.16","15.16","15.16"
"600.268528","15.16","15.16","15.16"
"630.26917","15.16","15.16","15.16"
"660.269952","15.16","15.16","15.16"
"690.270837","15.17","15.17","15.17"
"720.271489","15.17","15.17","15.17"
"750.272172","15.17","15.17","15.17"
"780.272924","15.17","15.17","15.17"
"810.273749","15.17","15.17","15.17"
"840.274624","15.17","15.17","15.17"
"870.275388","15.17","15.17","15.17"
"900.276191","15.17","15.17","15.17"
"930.276938","15.17","15.17","15.17"
"960.277754","15.17","15.17","15.17"
"990.27855","15.17","15.17","15.17"
"1020.279363","15.17","15.17","15.17"
"1050.280145","15.17","15.17","15.17"
"1080.280765","15.17","15.17","15.17"
"1110.28157","15.17","15.17","15.17"
"1140.282191","15.17","15.17","15.17"
"1170.283021","15.17","15.17","15.17"
"1200.28386","15.17","15.17","15.17"
"1230.28458","15.17","15.17","15.17"
"1260.285369","15.17","15.17","15.17"
"1290.286116","15.17","15.17","15.17"
"1320.286927","15.17","15.17","15.17"
"1350.287697","15.17","15.17","15.17"
"1380.288555","15.17","15.17","15.17"
"1410.289444","15.17","15.17","15.17"
"1440.290239","15.17","15.17","15.17"
"1470.290985","15.17","15.17","15.17"
"1500.292166","15.17","15.17","15.17"
"1530.292868","15.17","15.17","15.17"
"1560.293653","15.17","15.17","15.17"
"1590.29441","15.17","15.17","15.17"
"1620.295538","15.17","15.17","15.17"
"1650.296232","15.17","15.17","15.17"
"1680.297049","15.17","15.17","15.17"
"1710.297772","15.17","15.17","15.17"
"1740.298563","15.17","15.17","15.17"
"1770.299423","15.17","15.17","15.17"
"1800.300266","15.17","15.17","15.17"
"1830.301212","15.17","15.17","15.17"
"1860.302131","15.17","15.17","15.17"
"1890.302857","15.17","15.17","15.17"
"1920.303721","15.17","15.17","15.17"
"1950.304574","15.17","15.17","15.17"
"1980.305304","15.17","15.17","15.17"
"2010.306062","15.17","15.17","15.17"
